node.name	node.url	node.pullRequests.totalCount	node.openpullRequests.totalCount	node.closedPullRequests.totalCount	node.mergedPullRequests.totalCount	node.forks.totalCount	node.commitComments.totalCount	node.mentionableUsers.totalCount	node.assignableUsers.totalCount	node.issues.totalCount	node.totalIssues.totalIssues	node.openIssues.openIssues	node.languages.totalCount	node.releases.totalCount	node.watchers.totalCount	node.stargazers.totalCount	node.master.history.commits
sweetalert	https://github.com/t4t5/sweetalert	270	15	173	82	2247	10	60	2	643	643	110	4	13	492	20335	0
open-source-mac-os-apps	https://github.com/serhii-londar/open-source-mac-os-apps	362	3	39	320	1298	2	151	2	109	109	16	2	0	797	20291	156
particles.js	https://github.com/VincentGarreau/particles.js	89	42	26	21	3404	0	14	1	305	305	238	1	6	549	20289	0
date-fns	https://github.com/date-fns/date-fns	747	30	181	536	786	22	199	117	760	760	123	2	69	227	20187	173
istio	https://github.com/istio/istio	11183	82	3339	7762	3365	152	466	200	7226	7226	1015	9	92	938	20153	1557
flow	https://github.com/facebook/flow	1920	130	1634	156	1643	163	838	2475	6154	6154	2359	14	151	424	20152	1053
rxjs	https://github.com/ReactiveX/rxjs	2696	78	1020	1598	2038	76	391	37	2405	2405	304	5	0	486	20145	130
layui	https://github.com/sentsin/layui	164	80	53	31	5712	12	16	2	414	414	349	2	38	986	20057	16
project-guidelines	https://github.com/elsewhencode/project-guidelines	109	1	10	98	1830	0	68	5	36	36	12	1	0	532	20049	5
bootstrap-material-design	https://github.com/FezVrasta/bootstrap-material-design	314	14	111	189	3196	42	101	2	1074	1074	48	5	27	830	20041	9
